原子质量	amu
巴	bar
平方厘米	cm²
立方厘米	cm³
厘米	cm
美担	cwt
摄氏度	°C
分贝	db
立方分米	dm³
分米	dm
英尺	ft
华氏度	°F
吉字节	gb
吉赫兹	ghz
吉帕斯卡	gpa
吉瓦时	gwh
吉瓦	gw
戈瑞	gy
小时	h
公顷	ha
赫兹	hz
千比特每秒	kbps
千比特一秒	kbps
千卡	kcal
千克力	kgf
千克	kg
公斤	kg
千赫兹	khz
平方千米	km²
公里	km
公里每小时	km/h
公里一小时	km/h
千米	km
千米每小时	km/h
千米一小时	km/h
千帕	kpa
千瓦时	kwh
千瓦	kw
磅	lbs
平方米	m²
立方米	m³
兆比特每秒	mbps
兆比特一秒	mbps
克	g
毫克	mg
兆赫兹	mhz
平方英里	mi²
分钟	min
英里	mi
毫升	ml
平方毫米	mm²
毫米	mm
摩尔	mol
兆帕	mpa
英里每小时	mph
英里一小时	mph
毫秒	ms
毫伏	mv
毫瓦	mw
千伏	kv
米	m
纳克	ng
纳米	nm
纳秒	ns
盎司	oz
度	º
帕斯卡	pa
皮克	pg
皮秒	ps
弧度	rad
转每分	rpm
平方英尺	sq ft
平方英里	sq mi
系沃特	sv
秒	s
太字节	tb
万亿焦耳	tj
台两	tl
伏特	v
码	yd
微克	μg
微米	μm
微秒	μs
欧米茄	ω
度	°
单位每升	U/L
单位每毫升	U/ml
国际单位	IU
国际单位每升	IU/L
国际单位每毫升	IU/ml
微国际单位每毫升	μIU/ml
毫国际单位每毫升	mIU/ml
克每升	g/L
克每分升	g/dL
毫克每升	mg/L
毫克每分升	mg/dL
微克每升	μg/L
微克每分升	μg/dL
纳克每升	ng/L
纳克每分升	ng/dL
纳克每毫升	ng/ml
皮克每毫升	pg/ml
毫摩尔每升	mmol/L
微摩尔每升	μmol/L
纳摩尔每升	nmol/L
皮摩尔每升	pmol/L
千帕	kPa
毫米汞柱	mmHg
厘米水柱	cmH₂O
每高倍视野	/HPF
每低倍视野	/LPF
个每升	/L
个每微升	/μL
百分比	%
千分比	‰
万每微升	×10⁴/μL
万每升	×10⁴/L
亿每升	×10⁸/L
十的九次方每升	×10⁹/L
十的十二次方每升	×10¹²/L
升每分钟	L/min
毫升每分钟	ml/min
毫升每小时	ml/h
毫升每公斤每小时	ml/kg/h
毫克每公斤	mg/kg
毫克每公斤每天	mg/kg/d
毫克每公斤每小时	mg/kg/h
微克每公斤每分钟	μg/kg/min
克每天	g/d
毫克每天	mg/d
毫克每平方米	mg/m²
单位每公斤	U/kg
卡路里	cal
千卡	kcal
千卡每天	kcal/d
千焦	kJ
千焦每天	kJ/d
毫当量每升	mEq/L
渗透压摩尔每千克	mOsm/kg
贝克勒尔	Bq
千贝克勒尔	kBq
兆贝克勒尔	MBq
吉贝克勒尔	GBq
居里	Ci
毫居里	mCi
微居里	μCi
戈瑞	Gy
毫戈瑞	mGy
厘戈瑞	cGy
希沃特	Sv
毫希沃特	mSv
微希沃特	μSv
伦琴	R
毫伦琴	mR
拉德	rad
毫拉德	mrad
雷姆	rem
毫雷姆	mrem
赫兹	Hz
次每分钟	/min
次每秒	/s
毫升每搏	ml/beat
升每分钟每平方米	L/min/m²
达因秒每厘米五次方	dyn·s/cm⁵
毫米每小时	mm/h
毫米每秒	mm/s
厘米每秒	cm/s
米每秒	m/s
分升	dL
微升	μL
纳升	nL
皮升	pL
飞升	fL
阿托升	aL
十的三次方每升	×10³/L
十的四次方每升	×10⁴/L
十的五次方每升	×10⁵/L
十的六次方每升	×10⁶/L
十的七次方每升	×10⁷/L
十的八次方每升	×10⁸/L
十的十次方每升	×10¹⁰/L
十的十一次方每升	×10¹¹/L
十的三次方每微升	×10³/μL
十的四次方每微升	×10⁴/μL
十的五次方每微升	×10⁵/μL
十的六次方每微升	×10⁶/μL
十的三次方每毫升	×10³/ml
十的四次方每毫升	×10⁴/ml
十的五次方每毫升	×10⁵/ml
十的六次方每毫升	×10⁶/ml
平方分米	dm²
每平方毫米	/mm²
每平方厘米	/cm²
每平方米	/m²
每立方毫米	/mm³
每立方厘米	/cm³
每立方米	/m³
克每立方厘米	g/cm³
千克每立方米	kg/m³
克每毫升	g/ml
千克每升	kg/L
摩尔每升	mol/L
每分钟	/min
每小时	/h
每天	/d
每周	/w
每月	/mo
每年	/y
次每分	bpm
下每分钟	/min
滴每分钟	gtt/min
升每小时	L/h
毫克每小时	mg/h
微克每小时	μg/h
毫升每天	ml/d
升每天	L/d
克每二十四小时	g/24h
毫克每二十四小时	mg/24h
微克每二十四小时	μg/24h
毫升每二十四小时	ml/24h
升每二十四小时	L/24h
开尔文	K
百分之	%
千分之	‰
万分之	‱
比	:
对	:
帕斯卡	Pa
千帕斯卡	kPa
兆帕斯卡	MPa
毫米水银柱	mmHg
厘米水银柱	cmHg
毫巴	mbar
标准大气压	atm
托	Torr
牛顿	N
千牛顿	kN
牛顿每平方米	N/m²
牛顿米	N·m
焦耳	J
千焦耳	kJ
兆焦耳	MJ
卡	cal
电子伏特	eV
千电子伏特	keV
兆电子伏特	MeV
瓦特	W
千瓦特	kW
兆瓦特	MW
毫瓦特	mW
微瓦特	μW
瓦特每平方米	W/m²
安培	A
毫安培	mA
微安培	μA
伏特	V
毫伏特	mV
微伏特	μV
千伏特	kV
欧姆	Ω
千欧姆	kΩ
兆欧姆	MΩ
西门子	S
毫西门子	mS
微西门子	μS
法拉	F
毫法拉	mF
微法拉	μF
纳法拉	nF
皮法拉	pF
亨利	H
毫亨利	mH
微亨利	μH
特斯拉	T
毫特斯拉	mT
高斯	G
韦伯	Wb
流明	lm
勒克斯	lx
坎德拉	cd
达尔顿	Da
千达尔顿	kDa
原子质量单位	amu
乘十的三次方每升	×10³/L
乘十的四次方每升	×10⁴/L
乘十的五次方每升	×10⁵/L
乘十的六次方每升	×10⁶/L
乘十的七次方每升	×10⁷/L
乘十的八次方每升	×10⁸/L
乘十的九次方每升	×10⁹/L
乘十的十次方每升	×10¹⁰/L
乘十的十一次方每升	×10¹¹/L
